"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Eritrea","ERI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1294.74548339844","1347.20227050781","1501.03149414063","1524.24011230469","1881.47424316406","1942.26513671875","1992.51062011719","2178.2724609375","2339.60546875","2501.90161132813","2599.99536132813","2712.35009765625","2858.90063476563","2890.22241210938","2889.45678710938","2788.25634765625","2718.38427734375","2652.55102539063","2642.3720703125","","",
"Estonia","EST","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2117.48120117188","2138.44921875","1905.44934082031","1926.34619140625","2212.2822265625","2197.55395507813","2470.75830078125","2457.10205078125","2603.43920898438","2745.05981445313","2969.53369140625","3229.01049804688","3060.60620117188","3396.66333007813","3460.62060546875","3338.51000976563","3284.44775390625","","",
"Ethiopia","ETH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.989860534668","","19.9648990631104","","","42.2672805786133","","","45.1226387023926","","","",
"European Union","EUU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2030.86194379401","2084.91922304597","2109.6726852798","2226.32804318887","2269.15957848969","2389.11752996615","2455.76411445792","2559.07926987268","2688.97384750987","2788.31283462527","2875.17367288324","2937.83024289652","3081.01253893661","3134.70111025213","3221.46052797141","3242.08320707803","3341.97544207653","3438.95791024824","3480.79646833294","","",
"Fragile and conflict affected situations","FCS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5151.61669921875","5905.13232421875","6326.68896484375","6731.88232421875","7109.79541015625","7428.0126953125","8002.6083984375","7841.798828125","7544.64794921875","7673.0556640625","7373.23974609375","7692.4423828125","7648.88134765625","7717.47509765625","7413.634765625","7460.1025390625","7187.92626953125","6985.9443359375","","",
"Fiji","FJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2649.18212890625","2638.2822265625","2645.3837890625","2714.0947265625","2897.42651367188","2970.46240234375","3103.08056640625","3188.46215820313","3325.36450195313","3306.68139648438","3418.13208007813","3580.19482421875","3653.9921875","3741.42211914063","3867.99291992188","3939.51147460938","4073.40576171875","4169.84814453125","4201.05517578125","","",
"Faroe Islands","FRO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780.24340820313","","","","","","","","","","","","","",
